Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TC_Online Payment Bulletin,Chrome 67.0.3396.99,,2018-07-06 14:24:37,2018-07-06 14:26:23,1m - 45.945s,PASSED
,,,,,,
Test Cases/TC_Online Payment Bulletin/TC_OnlinePaymentBulletin01,Chrome 67.0.3396.99,,2018-07-06 14:24:37,2018-07-06 14:24:55,17.272s,PASSED
Start listener action : BeforeTestCase,Chrome 67.0.3396.99,,2018-07-06 14:24:37,2018-07-06 14:24:45,7.599s,PASSED
common.MasterLogin.Login,Chrome 67.0.3396.99,,2018-07-06 14:24:45,2018-07-06 14:24:49,3.794s,PASSED
common.MenuIntoPage.getDropdownMenu,Chrome 67.0.3396.99,\u5E33\u52D9\u7BA1\u7406 -> \u7DDA\u4E0A\u652F\u4ED8\u770B\u677F,2018-07-06 14:24:49,2018-07-06 14:24:49,0.247s,PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-07-06 14:24:49,2018-07-06 14:24:51,1.513s,PASSED
Statement - beforeText = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/ThirdPartyPayment/Index_Page/text_ID)),Chrome 67.0.3396.99,\u53D6\u5F97\u6B32\u67E5\u8A62\u7684\u300C\u8A02\u55AE\u865F\u300D,2018-07-06 14:24:51,2018-07-06 14:24:51,0.058s,PASSED
click,Chrome 67.0.3396.99,\u641C\u5C0B,2018-07-06 14:24:51,2018-07-06 14:24:51,0.141s,PASSED
waitForElementClickable,Chrome 67.0.3396.99,\u7EBF\u4E0A\u652F\u4ED8\u770B\u677F--\u641C\u5BFB--\u7B49\u5F85\u5F48\u7A97\u51FA\u73FE,2018-07-06 14:24:51,2018-07-06 14:24:51,0.063s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-06 14:24:51,2018-07-06 14:24:53,2.002s,PASSED
setText,Chrome 67.0.3396.99,\u8F38\u5165\u8A02\u55AE\u865F,2018-07-06 14:24:53,2018-07-06 14:24:53,0.189s,PASSED
click,Chrome 67.0.3396.99,\u641C\u5C0B,2018-07-06 14:24:53,2018-07-06 14:24:53,0.129s,PASSED
extension.UIMethod.clickUsingJS,Chrome 67.0.3396.99,\u9EDE\u64CA\u641C\u5C0B\u7D50\u679CID,2018-07-06 14:24:53,2018-07-06 14:24:53,0.066s,PASSED
Statement - getPaymentId = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/ThirdPartyPayment/Detail_Page/text_PaymentID)),Chrome 67.0.3396.99,\u53D6\u5F97\u7EBF\u4E0A\u652F\u4ED8\u660E\u7EC6\u300C\u8A02\u55AE\u865F\u300D,2018-07-06 14:24:53,2018-07-06 14:24:54,0.661s,PASSED
